reference_area,ref_area,Adjustment,time,cpi
Australia,AUS,Neither seasonally adjusted nor calendar adjusted,1948-07-01,3.436267
Australia,AUS,Neither seasonally adjusted nor calendar adjusted,1948-10-01,3.529139
Australia,AUS,Neither seasonally adjusted nor calendar adjusted,1949-01-01,3.622011
Australia,AUS,Neither seasonally adjusted nor calendar adjusted,1949-04-01,3.714883
Australia,AUS,Neither seasonally adjusted nor calendar adjusted,1949-07-01,3.807755
Australia,AUS,Neither seasonally adjusted nor calendar adjusted,1949-10-01,3.807755
Australia,AUS,Neither seasonally adjusted nor calendar adjusted,1950-01-01,3.900627
Australia,AUS,Neither seasonally adjusted nor calendar adjusted,1950-04-01,3.993499
Australia,AUS,Neither seasonally adjusted nor calendar adjusted,1950-07-01,4.086371
Australia,AUS,Neither seasonally adjusted nor calendar adjusted,1950-10-01,4.272115
Australia,AUS,Neither seasonally adjusted nor calendar adjusted,1951-01-01,4.45786
Australia,AUS,Neither seasonally adjusted nor calendar adjusted,1951-04-01,4.736475
Australia,AUS,Neither seasonally adjusted nor calendar adjusted,1951-07-01,4.92222
Australia,AUS,Neither seasonally adjusted nor calendar adjusted,1951-10-01,5.293708
Australia,AUS,Neither seasonally adjusted nor calendar adjusted,1952-01-01,5.479452
Australia,AUS,Neither seasonally adjusted nor calendar adjusted,1952-04-01,5.665196
Australia,AUS,Neither seasonally adjusted nor calendar adjusted,1952-07-01,5.758068
Australia,AUS,Neither seasonally adjusted nor calendar adjusted,1952-10-01,5.85094
Australia,AUS,Neither seasonally adjusted nor calendar adjusted,1953-01-01,5.85094
Australia,AUS,Neither seasonally adjusted nor calendar adjusted,1953-04-01,5.943812
Australia,AUS,Neither seasonally adjusted nor calendar adjusted,1953-07-01,6.036685
Australia,AUS,Neither seasonally adjusted nor calendar adjusted,1953-10-01,5.943812
Australia,AUS,Neither seasonally adjusted nor calendar adjusted,1954-01-01,6.036685
Australia,AUS,Neither seasonally adjusted nor calendar adjusted,1954-04-01,6.036685
Australia,AUS,Neither seasonally adjusted nor calendar adjusted,1954-07-01,6.036685
Australia,AUS,Neither seasonally adjusted nor calendar adjusted,1954-10-01,6.036685
Australia,AUS,Neither seasonally adjusted nor calendar adjusted,1955-01-01,6.036685
Australia,AUS,Neither seasonally adjusted nor calendar adjusted,1955-04-01,6.129557
Australia,AUS,Neither seasonally adjusted nor calendar adjusted,1955-07-01,6.129557
Australia,AUS,Neither seasonally adjusted nor calendar adjusted,1955-10-01,6.222429
Australia,AUS,Neither seasonally adjusted nor calendar adjusted,1956-01-01,6.222429
Australia,AUS,Neither seasonally adjusted nor calendar adjusted,1956-04-01,6.501045
Australia,AUS,Neither seasonally adjusted nor calendar adjusted,1956-07-01,6.593917
Australia,AUS,Neither seasonally adjusted nor calendar adjusted,1956-10-01,6.593917
Australia,AUS,Neither seasonally adjusted nor calendar adjusted,1957-01-01,6.593917
Australia,AUS,Neither seasonally adjusted nor calendar adjusted,1957-04-01,6.686789
Australia,AUS,Neither seasonally adjusted nor calendar adjusted,1957-07-01,6.686789
Australia,AUS,Neither seasonally adjusted nor calendar adjusted,1957-10-01,6.686789
Australia,AUS,Neither seasonally adjusted nor calendar adjusted,1958-01-01,6.686789
Australia,AUS,Neither seasonally adjusted nor calendar adjusted,1958-04-01,6.686789
Australia,AUS,Neither seasonally adjusted nor calendar adjusted,1958-07-01,6.686789
Australia,AUS,Neither seasonally adjusted nor calendar adjusted,1958-10-01,6.779661
Australia,AUS,Neither seasonally adjusted nor calendar adjusted,1959-01-01,6.779661
Australia,AUS,Neither seasonally adjusted nor calendar adjusted,1959-04-01,6.779661
Australia,AUS,Neither seasonally adjusted nor calendar adjusted,1959-07-01,6.872533
Australia,AUS,Neither seasonally adjusted nor calendar adjusted,1959-10-01,6.965405
Australia,AUS,Neither seasonally adjusted nor calendar adjusted,1960-01-01,6.965405
Australia,AUS,Neither seasonally adjusted nor calendar adjusted,1960-04-01,7.058277
Australia,AUS,Neither seasonally adjusted nor calendar adjusted,1960-07-01,7.151149
Australia,AUS,Neither seasonally adjusted nor calendar adjusted,1960-10-01,7.244021
Australia,AUS,Neither seasonally adjusted nor calendar adjusted,1961-01-01,7.244021
Australia,AUS,Neither seasonally adjusted nor calendar adjusted,1961-04-01,7.336894
Australia,AUS,Neither seasonally adjusted nor calendar adjusted,1961-07-01,7.244021
Australia,AUS,Neither seasonally adjusted nor calendar adjusted,1961-10-01,7.244021
Australia,AUS,Neither seasonally adjusted nor calendar adjusted,1962-01-01,7.244021
Australia,AUS,Neither seasonally adjusted nor calendar adjusted,1962-04-01,7.244021
Australia,AUS,Neither seasonally adjusted nor calendar adjusted,1962-07-01,7.244021
Australia,AUS,Neither seasonally adjusted nor calendar adjusted,1962-10-01,7.244021
Australia,AUS,Neither seasonally adjusted nor calendar adjusted,1963-01-01,7.244021
Australia,AUS,Neither seasonally adjusted nor calendar adjusted,1963-04-01,7.244021
Australia,AUS,Neither seasonally adjusted nor calendar adjusted,1963-07-01,7.336894
Australia,AUS,Neither seasonally adjusted nor calendar adjusted,1963-10-01,7.336894
Australia,AUS,Neither seasonally adjusted nor calendar adjusted,1964-01-01,7.429766
Australia,AUS,Neither seasonally adjusted nor calendar adjusted,1964-04-01,7.429766
Australia,AUS,Neither seasonally adjusted nor calendar adjusted,1964-07-01,7.522637
Australia,AUS,Neither seasonally adjusted nor calendar adjusted,1964-10-01,7.61551
Australia,AUS,Neither seasonally adjusted nor calendar adjusted,1965-01-01,7.61551
Australia,AUS,Neither seasonally adjusted nor calendar adjusted,1965-04-01,7.708382
Australia,AUS,Neither seasonally adjusted nor calendar adjusted,1965-07-01,7.801254
Australia,AUS,Neither seasonally adjusted nor calendar adjusted,1965-10-01,7.894126
Australia,AUS,Neither seasonally adjusted nor calendar adjusted,1966-01-01,7.986998
