reference_area,ref_area,time,labor_compensation,operating_surplus_mixed_income,taxes_minus_subsidies,gdp
Australia,AUS,1959-07-01,1855,1880,347,3972
Australia,AUS,1959-10-01,1894,1906,364,4088
Australia,AUS,1960-01-01,1969,1905,364,4166
Australia,AUS,1960-04-01,2030,1970,378,4377
Australia,AUS,1960-07-01,2081,1990,395,4400
Australia,AUS,1960-10-01,2113,1982,401,4428
Australia,AUS,1961-01-01,2097,1980,387,4421
Australia,AUS,1961-04-01,2097,1907,361,4322
Australia,AUS,1961-07-01,2125,1902,349,4330
Australia,AUS,1961-10-01,2133,1933,357,4367
Australia,AUS,1962-01-01,2193,2014,377,4497
Australia,AUS,1962-04-01,2242,2091,377,4594
Australia,AUS,1962-07-01,2232,2100,389,4651
Australia,AUS,1962-10-01,2257,2152,391,4782
Australia,AUS,1963-01-01,2329,2206,411,4925
Australia,AUS,1963-04-01,2358,2211,419,4889
Australia,AUS,1963-07-01,2422,2416,421,5150
Australia,AUS,1963-10-01,2510,2414,420,5257
Australia,AUS,1964-01-01,2513,2465,425,5319
Australia,AUS,1964-04-01,2594,2501,444,5501
Australia,AUS,1964-07-01,2681,2541,460,5585
Australia,AUS,1964-10-01,2807,2538,484,5765
Australia,AUS,1965-01-01,2848,2619,483,5851
Australia,AUS,1965-04-01,2922,2647,493,5965
Australia,AUS,1965-07-01,2991,2571,516,5985
Australia,AUS,1965-10-01,3000,2562,521,6057
Australia,AUS,1966-01-01,3101,2549,509,6092
Australia,AUS,1966-04-01,3141,2661,530,6250
Australia,AUS,1966-07-01,3222,2773,535,6536
Australia,AUS,1966-10-01,3292,2910,528,6700
Australia,AUS,1967-01-01,3375,3057,570,6938
Australia,AUS,1967-04-01,3463,3019,576,6987
Australia,AUS,1967-07-01,3552,2987,590,7094
Australia,AUS,1967-10-01,3599,3131,586,7234
Australia,AUS,1968-01-01,3638,3101,626,7345
Australia,AUS,1968-04-01,3791,3215,628,7531
Australia,AUS,1968-07-01,3805,3364,618,7755
Australia,AUS,1968-10-01,4021,3550,661,8169
Australia,AUS,1969-01-01,4105,3540,658,8282
Australia,AUS,1969-04-01,4205,3617,686,8545
Australia,AUS,1969-07-01,4328,3844,718,8857
Australia,AUS,1969-10-01,4450,3960,739,9073
Australia,AUS,1970-01-01,4627,4002,731,9297
Australia,AUS,1970-04-01,4743,4210,759,9655
Australia,AUS,1970-07-01,4837,4072,763,9718
Australia,AUS,1970-10-01,5068,4080,764,9880
Australia,AUS,1971-01-01,5365,4127,806,10260
Australia,AUS,1971-04-01,5501,4289,822,10492
Australia,AUS,1971-07-01,5627,4464,841,10901
Australia,AUS,1971-10-01,5685,4513,840,10917
Australia,AUS,1972-01-01,5852,4484,912,11118
Australia,AUS,1972-04-01,6026,4666,967,11541
Australia,AUS,1972-07-01,6157,4789,936,11701
Australia,AUS,1972-10-01,6340,5012,1008,12090
Australia,AUS,1973-01-01,6584,5374,1016,12696
Australia,AUS,1973-04-01,6975,5439,1008,13292
Australia,AUS,1973-07-01,7282,6108,1126,14037
Australia,AUS,1973-10-01,7665,5977,1241,14969
Australia,AUS,1974-01-01,8161,5955,1273,15498
Australia,AUS,1974-04-01,8653,6015,1328,15767
Australia,AUS,1974-07-01,9705,5797,1469,16753
Australia,AUS,1974-10-01,10189,6155,1513,17647
Australia,AUS,1975-01-01,10494,6231,1519,17998
Australia,AUS,1975-04-01,10676,6804,1645,18830
Australia,AUS,1975-07-01,11119,6747,1751,19402
Australia,AUS,1975-10-01,11598,7156,1924,20337
Australia,AUS,1976-01-01,11967,7475,2114,21302
Australia,AUS,1976-04-01,12506,7937,2132,22239
Australia,AUS,1976-07-01,12885,8306,2198,23015
Australia,AUS,1976-10-01,13165,8621,2173,23749
Australia,AUS,1977-01-01,13490,8765,2283,24279
Australia,AUS,1977-04-01,13940,8848,2329,25102
Australia,AUS,1977-07-01,14080,9060,2341,25441
Australia,AUS,1977-10-01,14455,9074,2269,25729
Australia,AUS,1978-01-01,14904,9539,2320,26576
Australia,AUS,1978-04-01,15020,9814,2482,27371
Australia,AUS,1978-07-01,15286,10715,2560,28289
Australia,AUS,1978-10-01,15393,11142,2728,29033
Australia,AUS,1979-01-01,16141,11518,2836,30490
Australia,AUS,1979-04-01,16175,11963,2858,30959
Australia,AUS,1979-07-01,16698,12484,3101,32031
Australia,AUS,1979-10-01,17258,12908,3057,33309
Australia,AUS,1980-01-01,17743,13343,3500,34219
Australia,AUS,1980-04-01,18351,13939,3299,34990
Australia,AUS,1980-07-01,19059,13702,3569,36147
Australia,AUS,1980-10-01,19873,14666,3725,37804
Australia,AUS,1981-01-01,20576,15064,3655,38554
Australia,AUS,1981-04-01,21480,15083,3919,39987
Australia,AUS,1981-07-01,22010,16034,3957,42159
Australia,AUS,1981-10-01,22733,16060,4211,43355
Australia,AUS,1982-01-01,23946,15935,4313,44284
Australia,AUS,1982-04-01,24897,16412,4441,45973
Australia,AUS,1982-07-01,26008,16044,4528,46556
Australia,AUS,1982-10-01,26109,16490,4806,47281
Australia,AUS,1983-01-01,26119,16918,4941,47694
Australia,AUS,1983-04-01,25540,17668,4974,48207
Australia,AUS,1983-07-01,26300,19824,5248,50999
Australia,AUS,1983-10-01,26989,20071,5296,52409
Australia,AUS,1984-01-01,27880,21601,5841,54579
Australia,AUS,1984-04-01,28892,21692,5860,55826
Australia,AUS,1984-07-01,29562,21933,5922,56494
Australia,AUS,1984-10-01,30022,22418,6065,57426
Australia,AUS,1985-01-01,30308,23282,6425,59632
Australia,AUS,1985-04-01,31143,23966,7121,61962
Australia,AUS,1985-07-01,31823,25254,7111,63404
Australia,AUS,1985-10-01,32857,24656,7106,64632
Australia,AUS,1986-01-01,34040,25726,7065,65855
Australia,AUS,1986-04-01,34409,26327,6888,67034
Australia,AUS,1986-07-01,35293,26174,7279,68274
Australia,AUS,1986-10-01,35750,28105,7499,70550
Australia,AUS,1987-01-01,36310,28927,7751,72343
Australia,AUS,1987-04-01,37285,30467,8119,75073
Australia,AUS,1987-07-01,38540,31618,8535,77474
Australia,AUS,1987-10-01,39258,32589,8879,79794
Australia,AUS,1988-01-01,40027,34133,8808,82682
Australia,AUS,1988-04-01,41214,34860,9164,84729
Australia,AUS,1988-07-01,41781,36817,9441,87742
Australia,AUS,1988-10-01,43830,37302,9738,90606
Australia,AUS,1989-01-01,45360,38958,10009,93223
Australia,AUS,1989-04-01,46767,40609,10294,96851
Australia,AUS,1989-07-01,48117,40460,10452,98719
Australia,AUS,1989-10-01,49064,41229,10418,100452
Australia,AUS,1990-01-01,50538,41485,10955,102270
Australia,AUS,1990-04-01,51801,41528,10706,104208
Australia,AUS,1990-07-01,52186,40984,10656,103608
Australia,AUS,1990-10-01,51998,43312,10598,104846
Australia,AUS,1991-01-01,51812,39932,10907,103437
Australia,AUS,1991-04-01,51426,40739,10742,103490
Australia,AUS,1991-07-01,51629,41062,10483,104261
Australia,AUS,1991-10-01,52370,41550,10697,105225
Australia,AUS,1992-01-01,52526,43254,10444,106756
Australia,AUS,1992-04-01,53205,43064,10645,107163
Australia,AUS,1992-07-01,54082,43763,10737,108194
Australia,AUS,1992-10-01,54516,45915,10828,110380
Australia,AUS,1993-01-01,54653,46044,10802,112262
Australia,AUS,1993-04-01,55381,47454,11196,113400
Australia,AUS,1993-07-01,55233,47477,11703,113253
Australia,AUS,1993-10-01,55890,48126,11955,115640
Australia,AUS,1994-01-01,57600,49016,12250,117995
Australia,AUS,1994-04-01,59096,48777,12544,119517
Australia,AUS,1994-07-01,58750,49771,13147,123048
Australia,AUS,1994-10-01,59723,50261,13130,122413
Australia,AUS,1995-01-01,61314,50793,13149,124573
Australia,AUS,1995-04-01,61870,50451,13482,126257
Australia,AUS,1995-07-01,63323,52170,13838,129003
Australia,AUS,1995-10-01,64810,52921,14073,131527
Australia,AUS,1996-01-01,65357,53811,14491,133196
Australia,AUS,1996-04-01,66412,54116,14690,135339
Australia,AUS,1996-07-01,67924,53893,14521,136026
Australia,AUS,1996-10-01,69018,54255,14665,137940
Australia,AUS,1997-01-01,69439,54610,15083,139183
Australia,AUS,1997-04-01,71245,56730,15576,142688
Australia,AUS,1997-07-01,71062,58075,15169,143651
Australia,AUS,1997-10-01,71882,58979,15751,147472
Australia,AUS,1998-01-01,72611,59924,15939,148559
Australia,AUS,1998-04-01,73708,60337,15878,149791
Australia,AUS,1998-07-01,75944,60441,16823,152438
Australia,AUS,1998-10-01,76419,62094,16466,155320
Australia,AUS,1999-01-01,77067,62910,16641,156785
Australia,AUS,1999-04-01,78326,61519,17123,157685
Australia,AUS,1999-07-01,78586,63236,18135,160533
Australia,AUS,1999-10-01,80787,65520,17587,163393
Australia,AUS,2000-01-01,82184,68509,18029,168327
Australia,AUS,2000-04-01,83142,69534,17941,170508
Australia,AUS,2000-07-01,84693,70722,18984,174765
Australia,AUS,2000-10-01,85807,68649,20320,173871
Australia,AUS,2001-01-01,87438,70337,20856,178715
Australia,AUS,2001-04-01,88648,69704,21323,180549
Australia,AUS,2001-07-01,89586,73697,20664,184331
Australia,AUS,2001-10-01,90624,76664,20933,186823
Australia,AUS,2002-01-01,91812,77145,21330,190991
Australia,AUS,2002-04-01,93223,79629,21889,194265
Australia,AUS,2002-07-01,94978,79446,22896,196879
Australia,AUS,2002-10-01,95700,80977,23015,200165
Australia,AUS,2003-01-01,97362,81017,23097,202414
Australia,AUS,2003-04-01,99308,81549,23991,204419
Australia,AUS,2003-07-01,100511,84717,24461,209102
Australia,AUS,2003-10-01,102342,87749,24968,214306
Australia,AUS,2004-01-01,104495,88502,24776,218496
Australia,AUS,2004-04-01,106105,90458,25541,221901
Australia,AUS,2004-07-01,108207,91415,25654,225040
Australia,AUS,2004-10-01,110523,94131,25369,228935
Australia,AUS,2005-01-01,112397,96656,25298,233227
Australia,AUS,2005-04-01,113751,96978,25501,238139
Australia,AUS,2005-07-01,116349,101144,26523,243685
Australia,AUS,2005-10-01,117929,103706,27295,249067
Australia,AUS,2006-01-01,120287,104677,27408,252020
Australia,AUS,2006-04-01,122104,105016,27328,255353
Australia,AUS,2006-07-01,124468,109911,27847,262765
Australia,AUS,2006-10-01,128936,111857,28651,269818
Australia,AUS,2007-01-01,132013,115162,28929,276664
Australia,AUS,2007-04-01,135589,115282,30845,280689
Australia,AUS,2007-07-01,137793,116704,30249,285155
Australia,AUS,2007-10-01,139993,119531,30814,290495
Australia,AUS,2008-01-01,142827,123789,31123,298152
Australia,AUS,2008-04-01,146655,129396,31330,305833
Australia,AUS,2008-07-01,147530,137764,29927,315462
Australia,AUS,2008-10-01,147920,137624,29625,315929
Australia,AUS,2009-01-01,147384,139849,30150,317311
Australia,AUS,2009-04-01,147051,135429,30512,312763
Australia,AUS,2009-07-01,149032,133415,31328,313805
Australia,AUS,2009-10-01,151419,138602,32376,320916
Australia,AUS,2010-01-01,154214,141399,32498,328441
Australia,AUS,2010-04-01,158457,149016,33288,340024
Australia,AUS,2010-07-01,162045,149961,33786,344984
Australia,AUS,2010-10-01,165583,153680,33882,351086
Australia,AUS,2011-01-01,168907,151628,34660,356891
Australia,AUS,2011-04-01,171891,158462,34149,365840
Australia,AUS,2011-07-01,174765,163757,34261,372342
Australia,AUS,2011-10-01,176571,163418,34627,373219
Australia,AUS,2012-01-01,180652,159193,35346,374264
Australia,AUS,2012-04-01,182076,160069,35357,379529
Australia,AUS,2012-07-01,181713,160644,36738,380381
Australia,AUS,2012-10-01,184179,160875,37219,381875
Australia,AUS,2013-01-01,185187,162971,37307,385664
Australia,AUS,2013-04-01,186763,165637,38467,389877
Australia,AUS,2013-07-01,188043,166152,39269,394026
Australia,AUS,2013-10-01,190583,170153,39605,400123
Australia,AUS,2014-01-01,191998,170326,40340,403385
Australia,AUS,2014-04-01,193539,169113,40456,402851
Australia,AUS,2014-07-01,195028,167407,39638,402831
Australia,AUS,2014-10-01,196075,169464,40290,405383
Australia,AUS,2015-01-01,196693,169831,41258,408426
Australia,AUS,2015-04-01,198682,169122,41113,407422
Australia,AUS,2015-07-01,200557,169808,42941,412049
Australia,AUS,2015-10-01,202175,168003,43095,412333
Australia,AUS,2016-01-01,204150,165882,43270,414795
Australia,AUS,2016-04-01,204680,169957,43748,419603
Australia,AUS,2016-07-01,206860,173736,43488,425056
Australia,AUS,2016-10-01,206398,188239,44574,439277
Australia,AUS,2017-01-01,208447,194374,45925,447226
Australia,AUS,2017-04-01,211165,190891,46085,447184
Australia,AUS,2017-07-01,213964,191420,46572,453000
Australia,AUS,2017-10-01,217285,192048,47612,455819
Australia,AUS,2018-01-01,219892,198090,47930,464737
Australia,AUS,2018-04-01,222130,199968,48447,470964
Australia,AUS,2018-07-01,225154,202904,48872,478220
Australia,AUS,2018-10-01,227926,206807,49028,483156
Australia,AUS,2019-01-01,231427,211893,48940,490385
Australia,AUS,2019-04-01,234984,212866,50077,497728
Australia,AUS,2019-07-01,237431,215627,49995,504286
Australia,AUS,2019-10-01,240173,214558,50236,503637
Australia,AUS,2020-01-01,241708,214947,50666,505834
Australia,AUS,2020-04-01,237771,240248,-7687,469462
Australia,AUS,2020-07-01,242599,250197,-3542,489122
Australia,AUS,2020-10-01,246841,234034,30618,512383
Australia,AUS,2021-01-01,251360,235537,47830,533854
Australia,AUS,2021-04-01,256209,244359,53251,552841
Australia,AUS,2021-07-01,257873,251881,38892,550017
Australia,AUS,2021-10-01,264484,254116,50779,569306
Australia,AUS,2022-01-01,269868,267384,58164,594328
Australia,AUS,2022-04-01,277418,288767,56952,621991
Australia,AUS,2022-07-01,286222,285229,57692,627406
Australia,AUS,2022-10-01,291530,286227,59590,637059
Australia,AUS,2023-01-01,297647,292519,59904,649797
Australia,AUS,2023-04-01,302526,284564,60178,647027
Australia,AUS,2023-07-01,310685,282345,62694,655267
Australia,AUS,2023-10-01,315702,286546,63440,666066
Australia,AUS,2024-01-01,318723,290801,64428,674103
Australia,AUS,2024-04-01,321534,289882,63843,675318
Austria,AUT,1995-01-01,22467.4,15764.9,4986.5,43218.8
Austria,AUT,1995-04-01,22557.5,16261.7,5075.8,43895
