reference_area,ref_area,time,series,value
Australia,AUS,1959-07-01,inflation_def,NA
Australia,AUS,1959-07-01,inflation_cpi,NA
Australia,AUS,1959-07-01,contr_unit_labor_cost,NA
Australia,AUS,1959-07-01,contr_unit_profit,NA
Australia,AUS,1959-07-01,contr_unit_tax,NA
Australia,AUS,1959-07-01,contr_total,NA
Australia,AUS,1959-07-01,contr_relative,NA
Australia,AUS,1959-07-01,labor_share,0.46701913393756295
Australia,AUS,1959-07-01,ls_to_ps,0.9867021276595744
Australia,AUS,1959-10-01,inflation_def,NA
Australia,AUS,1959-10-01,inflation_cpi,NA
Australia,AUS,1959-10-01,contr_unit_labor_cost,NA
Australia,AUS,1959-10-01,contr_unit_profit,NA
Australia,AUS,1959-10-01,contr_unit_tax,NA
Australia,AUS,1959-10-01,contr_total,NA
Australia,AUS,1959-10-01,contr_relative,NA
Australia,AUS,1959-10-01,labor_share,0.46330724070450097
Australia,AUS,1959-10-01,ls_to_ps,0.9937040923399789
Australia,AUS,1960-01-01,inflation_def,NA
Australia,AUS,1960-01-01,inflation_cpi,NA
Australia,AUS,1960-01-01,contr_unit_labor_cost,NA
Australia,AUS,1960-01-01,contr_unit_profit,NA
Australia,AUS,1960-01-01,contr_unit_tax,NA
Australia,AUS,1960-01-01,contr_total,NA
Australia,AUS,1960-01-01,contr_relative,NA
Australia,AUS,1960-01-01,labor_share,0.47263562169947193
Australia,AUS,1960-01-01,ls_to_ps,1.0335958005249344
Australia,AUS,1960-04-01,inflation_def,NA
Australia,AUS,1960-04-01,inflation_cpi,NA
Australia,AUS,1960-04-01,contr_unit_labor_cost,NA
Australia,AUS,1960-04-01,contr_unit_profit,NA
Australia,AUS,1960-04-01,contr_unit_tax,NA
Australia,AUS,1960-04-01,contr_total,NA
Australia,AUS,1960-04-01,contr_relative,NA
Australia,AUS,1960-04-01,labor_share,0.463787982636509
Australia,AUS,1960-04-01,ls_to_ps,1.030456852791878
Australia,AUS,1960-07-01,inflation_def,NA
Australia,AUS,1960-07-01,inflation_cpi,4.054051104592737
Australia,AUS,1960-07-01,contr_unit_labor_cost,NA
Australia,AUS,1960-07-01,contr_unit_profit,NA
Australia,AUS,1960-07-01,contr_unit_tax,NA
Australia,AUS,1960-07-01,contr_total,NA
Australia,AUS,1960-07-01,contr_relative,NA
Australia,AUS,1960-07-01,labor_share,0.47295454545454546
Australia,AUS,1960-07-01,ls_to_ps,1.0457286432160804
Australia,AUS,1960-10-01,inflation_def,NA
Australia,AUS,1960-10-01,inflation_cpi,3.9999971286666103
Australia,AUS,1960-10-01,contr_unit_labor_cost,NA
Australia,AUS,1960-10-01,contr_unit_profit,NA
Australia,AUS,1960-10-01,contr_unit_tax,NA
Australia,AUS,1960-10-01,contr_total,NA
Australia,AUS,1960-10-01,contr_relative,NA
Australia,AUS,1960-10-01,labor_share,0.4771906052393857
Australia,AUS,1960-10-01,ls_to_ps,1.0660948536831483
Australia,AUS,1961-01-01,inflation_def,2.9353203810341677
Australia,AUS,1961-01-01,inflation_cpi,3.9999971286666103
Australia,AUS,1961-01-01,contr_unit_labor_cost,1.5670353473634249
