reference_area,ref_area,series,decade,var,value
Australia,AUS,contr_relative,1950-59,mean,NA
Australia,AUS,contr_relative,1950-59,sd,NA
Australia,AUS,contr_relative,1960-69,mean,0.7311861037581185
Australia,AUS,contr_relative,1960-69,sd,24.77222417298563
Australia,AUS,contr_relative,1970-79,mean,-12.434738882068936
Australia,AUS,contr_relative,1970-79,sd,78.82688604916365
Australia,AUS,contr_relative,1980-89,mean,2.2170543236729903
Australia,AUS,contr_relative,1980-89,sd,4.674803243598467
Australia,AUS,contr_relative,1990-99,mean,1.3344571964694265
Australia,AUS,contr_relative,1990-99,sd,5.193202607795243
Australia,AUS,contr_relative,2000-09,mean,1.1194101154567975
Australia,AUS,contr_relative,2000-09,sd,1.899870834509284
Australia,AUS,contr_relative,2010-19,mean,0.5777651001535437
Australia,AUS,contr_relative,2010-19,sd,3.2445731066323846
Australia,AUS,contr_relative,2020-,mean,0.4594512963057888
Australia,AUS,contr_relative,2020-,sd,3.2219759636156136
Australia,AUS,contr_total,1950-59,mean,NA
Australia,AUS,contr_total,1950-59,sd,NA
Australia,AUS,contr_total,1960-69,mean,2.9068380685162354
Australia,AUS,contr_total,1960-69,sd,1.6914148332853007
Australia,AUS,contr_total,1970-79,mean,10.650735165920048
Australia,AUS,contr_total,1970-79,sd,4.657729431357092
Australia,AUS,contr_total,1980-89,mean,8.492842669541597
Australia,AUS,contr_total,1980-89,sd,2.227786788547335
Australia,AUS,contr_total,1990-99,mean,1.7436057568667578
Australia,AUS,contr_total,1990-99,sd,1.434473794055925
Australia,AUS,contr_total,2000-09,mean,3.922551365188433
Australia,AUS,contr_total,2000-09,sd,1.854666362539158
Australia,AUS,contr_total,2010-19,mean,2.0986322978429746
Australia,AUS,contr_total,2010-19,sd,2.521651738124618
Australia,AUS,contr_total,2020-,mean,-3.1064664560531488
Australia,AUS,contr_total,2020-,sd,27.74321367996495
Australia,AUS,contr_unit_labor_cost,1950-59,mean,NA
Australia,AUS,contr_unit_labor_cost,1950-59,sd,NA
Australia,AUS,contr_unit_labor_cost,1960-69,mean,1.6739271916003293
Australia,AUS,contr_unit_labor_cost,1960-69,sd,1.1461084901797665
Australia,AUS,contr_unit_labor_cost,1970-79,mean,6.0686580789209
Australia,AUS,contr_unit_labor_cost,1970-79,sd,4.250290709028555
Australia,AUS,contr_unit_labor_cost,1980-89,mean,3.913358250562556
Australia,AUS,contr_unit_labor_cost,1980-89,sd,2.4829182199357103
Australia,AUS,contr_unit_labor_cost,1990-99,mean,0.9620293091162164
Australia,AUS,contr_unit_labor_cost,1990-99,sd,1.2414134844318134
Australia,AUS,contr_unit_labor_cost,2000-09,mean,1.6027654802631632
Australia,AUS,contr_unit_labor_cost,2000-09,sd,0.9087771782082562
Australia,AUS,contr_unit_labor_cost,2010-19,mean,0.992290872355932
Australia,AUS,contr_unit_labor_cost,2010-19,sd,0.9480745951497553
Australia,AUS,contr_unit_labor_cost,2020-,mean,2.143346970548138
Australia,AUS,contr_unit_labor_cost,2020-,sd,1.2621772909486813
Australia,AUS,contr_unit_profit,1950-59,mean,NA
Australia,AUS,contr_unit_profit,1950-59,sd,NA
Australia,AUS,contr_unit_profit,1960-69,mean,1.0687330521527725
