reference_area,ref_area,time,series,value
Australia,AUS,1959-07-01,lab_comp,1855
Australia,AUS,1959-07-01,profits,1880
Australia,AUS,1959-07-01,taxes,347
Australia,AUS,1959-07-01,gdp,3972
Australia,AUS,1959-07-01,rgdp_index,NA
Australia,AUS,1959-07-01,inflation_def,NA
Australia,AUS,1959-07-01,inflation_cpi,NA
Australia,AUS,1959-07-01,labor_share,0.46701913393756295
Australia,AUS,1959-07-01,contr_unit_labor_cost,NA
Australia,AUS,1959-07-01,contr_unit_profit,NA
Australia,AUS,1959-07-01,contr_unit_tax,NA
Australia,AUS,1959-07-01,contr_total,NA
Australia,AUS,1959-07-01,contr_relative,NA
Australia,AUS,1959-07-01,pc_lab_comp,NA
Australia,AUS,1959-07-01,pc_profits,NA
Australia,AUS,1959-07-01,pc_taxes,NA
Australia,AUS,1959-07-01,pc_rgdp,NA
Australia,AUS,1959-10-01,lab_comp,1894
Australia,AUS,1959-10-01,profits,1906
Australia,AUS,1959-10-01,taxes,364
Australia,AUS,1959-10-01,gdp,4088
Australia,AUS,1959-10-01,rgdp_index,NA
Australia,AUS,1959-10-01,inflation_def,NA
Australia,AUS,1959-10-01,inflation_cpi,NA
Australia,AUS,1959-10-01,labor_share,0.46330724070450097
Australia,AUS,1959-10-01,contr_unit_labor_cost,NA
Australia,AUS,1959-10-01,contr_unit_profit,NA
Australia,AUS,1959-10-01,contr_unit_tax,NA
Australia,AUS,1959-10-01,contr_total,NA
Australia,AUS,1959-10-01,contr_relative,NA
Australia,AUS,1959-10-01,pc_lab_comp,NA
Australia,AUS,1959-10-01,pc_profits,NA
Australia,AUS,1959-10-01,pc_taxes,NA
Australia,AUS,1959-10-01,pc_rgdp,NA
Australia,AUS,1960-01-01,lab_comp,1969
Australia,AUS,1960-01-01,profits,1905
Australia,AUS,1960-01-01,taxes,364
Australia,AUS,1960-01-01,gdp,4166
Australia,AUS,1960-01-01,rgdp_index,14.909207197
Australia,AUS,1960-01-01,inflation_def,NA
Australia,AUS,1960-01-01,inflation_cpi,NA
Australia,AUS,1960-01-01,labor_share,0.47263562169947193
Australia,AUS,1960-01-01,contr_unit_labor_cost,NA
Australia,AUS,1960-01-01,contr_unit_profit,NA
Australia,AUS,1960-01-01,contr_unit_tax,NA
Australia,AUS,1960-01-01,contr_total,NA
Australia,AUS,1960-01-01,contr_relative,NA
Australia,AUS,1960-01-01,pc_lab_comp,NA
Australia,AUS,1960-01-01,pc_profits,NA
Australia,AUS,1960-01-01,pc_taxes,NA
Australia,AUS,1960-01-01,pc_rgdp,NA
Australia,AUS,1960-04-01,lab_comp,2030
Australia,AUS,1960-04-01,profits,1970
