ind,series,period,value,ind_title
11,taxes,1997-2019,10.243146100930378,"Agriculture, forestry, fishing, and hunting"
11,taxes,2019-2023,NA,"Agriculture, forestry, fishing, and hunting"
11,va,1997-2019,1.896920796314694,"Agriculture, forestry, fishing, and hunting"
11,va,2019-2023,13.677254061697841,"Agriculture, forestry, fishing, and hunting"
11,gos,1997-2019,1.583045871462474,"Agriculture, forestry, fishing, and hunting"
11,gos,2019-2023,13.771652400280331,"Agriculture, forestry, fishing, and hunting"
11,coe,1997-2019,3.458486730765853,"Agriculture, forestry, fishing, and hunting"
11,coe,2019-2023,6.204380880747129,"Agriculture, forestry, fishing, and hunting"
21,taxes,1997-2019,5.731098477689089,Mining
21,taxes,2019-2023,8.325705755129164,Mining
21,gos,1997-2019,5.830292245336888,Mining
21,gos,2019-2023,12.671925346540691,Mining
21,va,1997-2019,5.264106804569968,Mining
21,va,2019-2023,8.788941953732499,Mining
21,coe,1997-2019,4.168490393579161,Mining
21,coe,2019-2023,0.31751012837193393,Mining
22,taxes,1997-2019,3.4172655464805857,Utilities
22,taxes,2019-2023,4.525733744447313,Utilities
22,coe,1997-2019,3.402758890301505,Utilities
22,coe,2019-2023,2.5988565027744492,Utilities
22,va,1997-2019,3.0423909143187933,Utilities
22,va,2019-2023,7.721337062174638,Utilities
22,gos,1997-2019,2.7453593955744537,Utilities
22,gos,2019-2023,11.077304355691409,Utilities
23,coe,1997-2019,4.471096429564758,Construction
23,coe,2019-2023,5.59548218640884,Construction
23,va,1997-2019,4.801941482963024,Construction
23,va,2019-2023,6.382481426264519,Construction
23,gos,1997-2019,5.453951327223705,Construction
23,gos,2019-2023,7.708547872304106,Construction
23,taxes,1997-2019,4.601446134897391,Construction
23,taxes,2019-2023,6.797164655551291,Construction
31-32-33,taxes,1997-2019,3.7305394894522337,Manufacturing
31-32-33,taxes,2019-2023,3.6291388315100814,Manufacturing
31-32-33,gos,1997-2019,2.9483593433533795,Manufacturing
31-32-33,gos,2019-2023,7.698509861325409,Manufacturing
31-32-33,va,1997-2019,2.275821000353928,Manufacturing
31-32-33,va,2019-2023,5.778114789009647,Manufacturing
31-32-33,coe,1997-2019,1.6428874547502081,Manufacturing
31-32-33,coe,2019-2023,4.076590775712607,Manufacturing
42,coe,1997-2019,3.4273452383867697,Wholesale trade
42,coe,2019-2023,6.060331074866854,Wholesale trade
