year,ind,series,value,ind_title,ind_2d
2019,11,coe,100,"Agriculture, forestry, fishing, and hunting",TRUE
2020,11,coe,108.00711743772241,"Agriculture, forestry, fishing, and hunting",TRUE
2021,11,coe,108.36298932384341,"Agriculture, forestry, fishing, and hunting",TRUE
2022,11,coe,119.2170818505338,"Agriculture, forestry, fishing, and hunting",TRUE
2023,11,coe,127.22419928825622,"Agriculture, forestry, fishing, and hunting",TRUE
2019,11,gos,100,"Agriculture, forestry, fishing, and hunting",TRUE
2020,11,gos,116.78023850085178,"Agriculture, forestry, fishing, and hunting",TRUE
2021,11,gos,155.28109028960816,"Agriculture, forestry, fishing, and hunting",TRUE
2022,11,gos,189.1822827938671,"Agriculture, forestry, fishing, and hunting",TRUE
2023,11,gos,167.54684838160136,"Agriculture, forestry, fishing, and hunting",TRUE
2019,11,taxes,100,"Agriculture, forestry, fishing, and hunting",TRUE
2020,11,taxes,371.27659574468083,"Agriculture, forestry, fishing, and hunting",TRUE
2021,11,taxes,155.3191489361702,"Agriculture, forestry, fishing, and hunting",TRUE
2022,11,taxes,-9.574468085106382,"Agriculture, forestry, fishing, and hunting",TRUE
2023,11,taxes,-62.76595744680851,"Agriculture, forestry, fishing, and hunting",TRUE
2019,111CA,coe,100,Farms,FALSE
2020,111CA,coe,106.99300699300699,Farms,FALSE
2021,111CA,coe,106.99300699300699,Farms,FALSE
2022,111CA,coe,124.82517482517484,Farms,FALSE
2023,111CA,coe,131.46853146853147,Farms,FALSE
2019,111CA,gos,100,Farms,FALSE
2020,111CA,gos,116.90408357075025,Farms,FALSE
2021,111CA,gos,160.3988603988604,Farms,FALSE
2022,111CA,gos,197.53086419753086,Farms,FALSE
2023,111CA,gos,172.1747388414055,Farms,FALSE
2019,111CA,taxes,100,Farms,FALSE
2020,111CA,taxes,307.07964601769913,Farms,FALSE
2021,111CA,taxes,139.8230088495575,Farms,FALSE
2022,111CA,taxes,15.929203539823007,Farms,FALSE
2023,111CA,taxes,-29.203539823008846,Farms,FALSE
2019,113FF,coe,100,"Forestry, fishing, and related activities",FALSE
2020,113FF,coe,109.45454545454545,"Forestry, fishing, and related activities",FALSE
2021,113FF,coe,110.18181818181819,"Forestry, fishing, and related activities",FALSE
2022,113FF,coe,113.81818181818181,"Forestry, fishing, and related activities",FALSE
2023,113FF,coe,123.27272727272727,"Forestry, fishing, and related activities",FALSE
2019,113FF,gos,100,"Forestry, fishing, and related activities",FALSE
2020,113FF,gos,115.70247933884298,"Forestry, fishing, and related activities",FALSE
2021,113FF,gos,110.74380165289257,"Forestry, fishing, and related activities",FALSE
2022,113FF,gos,116.52892561983471,"Forestry, fishing, and related activities",FALSE
2023,113FF,gos,127.27272727272728,"Forestry, fishing, and related activities",FALSE
2019,113FF,taxes,100,"Forestry, fishing, and related activities",FALSE
2020,113FF,taxes,-10.526315789473685,"Forestry, fishing, and related activities",FALSE
2021,113FF,taxes,63.15789473684211,"Forestry, fishing, and related activities",FALSE
2022,113FF,taxes,142.10526315789474,"Forestry, fishing, and related activities",FALSE
2023,113FF,taxes,136.8421052631579,"Forestry, fishing, and related activities",FALSE
2019,21,coe,100,Mining,TRUE
2020,21,coe,81.43851508120649,Mining,TRUE
2021,21,coe,77.61020881670534,Mining,TRUE
2022,21,coe,90.02320185614848,Mining,TRUE
2023,21,coe,101.27610208816705,Mining,TRUE
2019,21,gos,100,Mining,TRUE
2020,21,gos,58.40978593272171,Mining,TRUE
