Year,Industry,series,value
2019,11,gos,100
2019,11,taxes,100
2019,11,coe,100
2019,11,va,100
2020,11,gos,116.78023850085178
2020,11,taxes,371.27659574468083
2020,11,coe,108.00711743772241
2020,11,va,99.20828258221681
2021,11,gos,155.28109028960816
2021,11,taxes,155.3191489361702
2021,11,coe,108.36298932384341
2021,11,va,139.2204628501827
2022,11,gos,189.1822827938671
2022,11,taxes,-9.574468085106382
2022,11,coe,119.2170818505338
2022,11,va,176.61388550548114
2023,11,gos,167.54684838160136
2023,11,taxes,-62.76595744680851
2023,11,coe,127.22419928825622
2023,11,va,166.9914738124239
2019,21,gos,100
2019,21,taxes,100
2019,21,coe,100
2019,21,va,100
2020,21,gos,58.40978593272171
2020,21,taxes,81.941309255079
2020,21,coe,81.43851508120649
2020,21,va,68.6734693877551
2021,21,gos,132.96636085626912
2021,21,taxes,107.44920993227991
2021,21,coe,77.61020881670534
2021,21,va,112.89115646258503
2022,21,gos,193.76146788990826
2022,21,taxes,149.2099322799097
2022,21,coe,90.02320185614848
2022,21,va,156.66666666666666
2023,21,gos,161.16207951070336
2023,21,taxes,137.69751693002257
2023,21,coe,101.27610208816705
2023,21,va,140.06802721088437
2019,22,gos,100
2019,22,taxes,100
2019,22,coe,100
2019,22,va,100
2020,22,gos,105.02540937323546
2020,22,taxes,99.39939939939941
2020,22,coe,106.37087599544937
2020,22,va,104.25211097708082
2021,22,gos,127.55505364201017
2021,22,taxes,105.25525525525525
2021,22,coe,107.73606370875994
2021,22,va,117.85283474065137
2022,22,gos,153.02089215132693
2022,22,taxes,114.11411411411413
2022,22,coe,109.8976109215017
2022,22,va,133.77563329312423
2023,22,gos,152.23037831733487
2023,22,taxes,119.36936936936938
2023,22,coe,110.80773606370876
2023,22,va,134.65018094089262
2019,23,gos,100
2019,23,taxes,100
2019,23,coe,100
2019,23,va,100
2020,23,gos,120.74592074592076
2020,23,taxes,-481.4159292035398
2020,23,coe,99.89973262032085
2020,23,va,100.50367261280168
2021,23,gos,116.52097902097903
2021,23,taxes,-222.12389380530973
2021,23,coe,106.43382352941177
2021,23,va,106.1594963273872
2022,23,gos,118.00699300699301
2022,23,taxes,122.12389380530972
2022,23,coe,116.22660427807487
2022,23,va,116.92549842602308
2023,23,gos,134.58624708624708
2023,23,taxes,130.08849557522123
2023,23,coe,124.33155080213905
2023,23,va,128.07974816369358
2019,31G,gos,100
2019,31G,taxes,100
2019,31G,coe,100
2019,31G,va,100
2020,31G,gos,95.60901107292861
2020,31G,taxes,35.76086956521739
2020,31G,coe,98.75132837407013
2020,31G,va,94.74171368124118
2021,31G,gos,111.89385261550211
2021,31G,taxes,60
2021,31G,coe,104.62274176408077
2021,31G,va,106.1706629055007
2022,31G,gos,125.76365024818634
2022,31G,taxes,111.08695652173913
2022,31G,coe,111.99964576691463
2022,31G,va,118.32246121297601
2023,31G,gos,134.53608247422682
2023,31G,taxes,115.32608695652173
2023,31G,coe,117.33085370173573
2023,31G,va,125.19393511988716
2019,42,gos,100
2019,42,taxes,100
2019,42,coe,100
2019,42,va,100
2020,42,gos,111.48293963254594
2020,42,taxes,81.71469228032728
2020,42,coe,100.68039391226499
2020,42,va,100.38556446637878
2021,42,gos,112.62029746281715
2021,42,taxes,104.26894343649947
2021,42,coe,108.7018800358102
2021,42,va,109.1224552745219
2022,42,gos,131.10236220472441
2022,42,taxes,117.07577374599785
2022,42,coe,119.42703670546106
2022,42,va,123.03362122146824
2023,42,gos,139.58880139982503
2023,42,taxes,109.6051227321238
2023,42,coe,126.53536257833483
