reference_area,ref_area,time,series,value
Australia,AUS,1959-07-01,inflation_def,NA
Australia,AUS,1959-07-01,inflation_cpi,NA
Australia,AUS,1959-07-01,contr_unit_labor_cost,NA
Australia,AUS,1959-07-01,contr_unit_profit,NA
Australia,AUS,1959-07-01,contr_unit_tax,NA
Australia,AUS,1959-07-01,contr_total,NA
Australia,AUS,1959-10-01,inflation_def,NA
Australia,AUS,1959-10-01,inflation_cpi,NA
Australia,AUS,1959-10-01,contr_unit_labor_cost,NA
Australia,AUS,1959-10-01,contr_unit_profit,NA
Australia,AUS,1959-10-01,contr_unit_tax,NA
Australia,AUS,1959-10-01,contr_total,NA
Australia,AUS,1960-01-01,inflation_def,NA
Australia,AUS,1960-01-01,inflation_cpi,NA
Australia,AUS,1960-01-01,contr_unit_labor_cost,NA
Australia,AUS,1960-01-01,contr_unit_profit,NA
Australia,AUS,1960-01-01,contr_unit_tax,NA
Australia,AUS,1960-01-01,contr_total,NA
Australia,AUS,1960-04-01,inflation_def,NA
Australia,AUS,1960-04-01,inflation_cpi,NA
Australia,AUS,1960-04-01,contr_unit_labor_cost,NA
Australia,AUS,1960-04-01,contr_unit_profit,NA
Australia,AUS,1960-04-01,contr_unit_tax,NA
Australia,AUS,1960-04-01,contr_total,NA
Australia,AUS,1960-07-01,inflation_def,NA
Australia,AUS,1960-07-01,inflation_cpi,4.054051104592737
Australia,AUS,1960-07-01,contr_unit_labor_cost,NA
Australia,AUS,1960-07-01,contr_unit_profit,NA
Australia,AUS,1960-07-01,contr_unit_tax,NA
Australia,AUS,1960-07-01,contr_total,NA
Australia,AUS,1960-10-01,inflation_def,NA
Australia,AUS,1960-10-01,inflation_cpi,3.9999971286666103
Australia,AUS,1960-10-01,contr_unit_labor_cost,NA
Australia,AUS,1960-10-01,contr_unit_profit,NA
Australia,AUS,1960-10-01,contr_unit_tax,NA
Australia,AUS,1960-10-01,contr_total,NA
Australia,AUS,1961-01-01,inflation_def,2.9353203810341677
Australia,AUS,1961-01-01,inflation_cpi,3.9999971286666103
Australia,AUS,1961-01-01,contr_unit_labor_cost,1.5670353473634249
Australia,AUS,1961-01-01,contr_unit_profit,0.36586324500200823
Australia,AUS,1961-01-01,contr_unit_tax,0.2737350959937318
Australia,AUS,1961-01-01,contr_total,2.206633688359165
Australia,AUS,1961-04-01,inflation_def,-0.4837342865575356
Australia,AUS,1961-04-01,inflation_cpi,3.94737979254709
Australia,AUS,1961-04-01,contr_unit_labor_cost,1.9936509185825781
Australia,AUS,1961-04-01,contr_unit_profit,-1.07674909426684
Australia,AUS,1961-04-01,contr_unit_tax,-0.31321343776949534
Australia,AUS,1961-04-01,contr_total,0.6036883865462428
Australia,AUS,1961-07-01,inflation_def,0.11877385837595344
Australia,AUS,1961-07-01,inflation_cpi,1.2987003906644867
Australia,AUS,1961-07-01,contr_unit_labor_cost,1.90829104437421
Australia,AUS,1961-07-01,contr_unit_profit,-1.2130695530649631
Australia,AUS,1961-07-01,contr_unit_tax,-0.8149164931354712
Australia,AUS,1961-07-01,contr_total,-0.11969500182622428
Australia,AUS,1961-10-01,inflation_def,-1.0003185846850338
Australia,AUS,1961-10-01,inflation_cpi,0
