reference_area,ref_area,time,chain_linked_valume_index,deflator_index
Argentina,ARG,1993-01-01,55.106585878,NA
Argentina,ARG,1993-04-01,56.678754342,NA
Argentina,ARG,1993-07-01,57.818130973,NA
Argentina,ARG,1993-10-01,58.283829884,NA
Argentina,ARG,1994-01-01,59.112240814,NA
Argentina,ARG,1994-04-01,60.334835392,NA
Argentina,ARG,1994-07-01,60.48711483,NA
Argentina,ARG,1994-10-01,61.237720352,NA
Argentina,ARG,1995-01-01,60.292747763,NA
Argentina,ARG,1995-04-01,58.007469335,NA
Argentina,ARG,1995-07-01,57.783386763,NA
Argentina,ARG,1995-10-01,58.226460912,NA
Argentina,ARG,1996-01-01,59.827490593,NA
Argentina,ARG,1996-04-01,61.160905375,NA
Argentina,ARG,1996-07-01,62.565574409,NA
Argentina,ARG,1996-10-01,63.705685589,NA
Argentina,ARG,1997-01-01,65.043635763,NA
Argentina,ARG,1997-04-01,66.011168874,NA
Argentina,ARG,1997-07-01,67.672813466,NA
Argentina,ARG,1997-10-01,68.587382828,NA
Argentina,ARG,1998-01-01,68.942268736,NA
Argentina,ARG,1998-04-01,70.293196186,NA
Argentina,ARG,1998-07-01,70.07907306,NA
Argentina,ARG,1998-10-01,68.292571041,NA
Argentina,ARG,1999-01-01,67.441745728,NA
Argentina,ARG,1999-04-01,66.67971648,NA
Argentina,ARG,1999-07-01,66.487578545,NA
Argentina,ARG,1999-10-01,67.599796731,NA
Argentina,ARG,2000-01-01,67.369955795,NA
Argentina,ARG,2000-04-01,66.286045656,NA
Argentina,ARG,2000-07-01,66.116893555,NA
Argentina,ARG,2000-10-01,66.319778622,NA
Argentina,ARG,2001-01-01,66.428308392,NA
Argentina,ARG,2001-04-01,65.877074482,NA
Argentina,ARG,2001-07-01,62.816505395,NA
Argentina,ARG,2001-10-01,59.239185233,NA
Argentina,ARG,2002-01-01,56.318090028,NA
Argentina,ARG,2002-04-01,56.556870929,NA
Argentina,ARG,2002-07-01,56.599004276,NA
Argentina,ARG,2002-10-01,57.175780358,NA
Argentina,ARG,2003-01-01,59.288435264,NA
Argentina,ARG,2003-04-01,61.164514072,NA
Argentina,ARG,2003-07-01,62.659153461,NA
Argentina,ARG,2003-10-01,63.83495178,NA
Argentina,ARG,2004-01-01,65.98198172,11.681179396
Argentina,ARG,2004-04-01,65.146843322,12.462331143
Argentina,ARG,2004-07-01,68.438673247,12.03437563
Argentina,ARG,2004-10-01,69.385426247,12.287341199
Argentina,ARG,2005-01-01,71.376779712,12.559845216
Argentina,ARG,2005-04-01,73.052709042,13.221732093
Argentina,ARG,2005-07-01,73.455333346,13.547763913
Argentina,ARG,2005-10-01,74.874900631,14.099999647
Argentina,ARG,2006-01-01,76.848719425,14.694471407
Argentina,ARG,2006-04-01,77.778236151,14.923840886
Argentina,ARG,2006-07-01,79.969389586,15.362900116
Argentina,ARG,2006-10-01,81.722196003,15.792438668
Argentina,ARG,2007-01-01,83.648991382,16.243325352
Argentina,ARG,2007-04-01,85.374448704,16.901138172
Argentina,ARG,2007-07-01,86.54324157,17.792899051
Argentina,ARG,2007-10-01,89.24472935,18.869824128
Argentina,ARG,2008-01-01,90.118286146,20.116674746
Argentina,ARG,2008-04-01,90.524851171,21.419538236
Argentina,ARG,2008-07-01,91.166034569,21.87083691
Argentina,ARG,2008-10-01,86.992041845,22.72736651
Argentina,ARG,2009-01-01,83.878477452,23.276106115
Argentina,ARG,2009-04-01,81.800273887,24.432602888
Argentina,ARG,2009-07-01,85.080566393,25.110094624
Argentina,ARG,2009-10-01,86.806156178,26.446810243
Argentina,ARG,2010-01-01,89.52513149,27.817371099
Argentina,ARG,2010-04-01,93.351112026,28.874497593
Argentina,ARG,2010-07-01,93.844505653,30.727530466
Argentina,ARG,2010-10-01,95.02457301,32.553054148
Argentina,ARG,2011-01-01,97.309926668,34.082409346
Argentina,ARG,2011-04-01,98.367208816,36.385749614
Argentina,ARG,2011-07-01,99.225876725,38.173782491
Argentina,ARG,2011-10-01,99.161719546,39.876836765
Argentina,ARG,2012-01-01,98.220152558,41.902705307
Argentina,ARG,2012-04-01,94.687196674,44.792460315
Argentina,ARG,2012-07-01,97.74452687,46.545244533
Argentina,ARG,2012-10-01,99.368094588,48.445475918
Argentina,ARG,2013-01-01,99.274016142,51.051836346
Argentina,ARG,2013-04-01,99.873753312,54.306669391
Argentina,ARG,2013-07-01,100.532354997,57.524500499
Argentina,ARG,2013-10-01,99.721089373,62.349692671
Argentina,ARG,2014-01-01,98.191477341,70.018760915
Argentina,ARG,2014-04-01,97.403285933,77.365682168
Argentina,ARG,2014-07-01,96.608458302,81.629854408
Argentina,ARG,2014-10-01,97.162576143,87.105575679
Argentina,ARG,2015-01-01,98.517031887,90.682990246
Argentina,ARG,2015-04-01,101.006269468,94.44426039
Argentina,ARG,2015-07-01,100.802410979,103.831848604
Argentina,ARG,2015-10-01,99.674287666,110.963600814
